id,lat,lon,name
36767246,49.2782923,-123.0588372,Templeton Park
36767247,49.2704746,-123.050752,Clinton Park
36767248,49.268968,-123.0740384,Alice Townley Park
36767249,49.2650705,-123.0833718,China Creek Park North
36767250,49.2614682,-123.0790929,China Creek Park South
36767251,49.2718133,-123.0307921,Rupert Park
36809269,49.2905296,-123.037965,New Brighton Park
36810502,49.2693267,-123.2564467,Rose Garden
36834542,49.2594406,-123.2540868,Totem Park
36865812,49.2567005,-123.2468531,Rhododendron Wood
36865817,49.2672628,-123.2537077,
36893905,49.2450046,-123.1337332,Devonshire Park
36893906,49.2476058,-123.123576,Braemar Park
36893911,49.2312445,-123.1308001,Montgomery Park
36893912,49.2276166,-123.1198601,Tisdall Park
36893913,49.2314806,-123.1121316,Columbia Park
36893914,49.2154915,-123.1140562,Winona Park
36893915,49.2154478,-123.128603,Oak Park
36893916,49.2154465,-123.1425107,Shannon Park
36893917,49.2123464,-123.1472028,Riverview Park
36893919,49.2064167,-123.1291984,Eburne Park
36895702,49.2681151,-123.1807434,McBride Park
36895703,49.258521,-123.1439848,Granville Park
36895706,49.2640126,-123.0959537,Guelph Park
36895712,49.258103,-123.092044,Robson Park
36895719,49.251513,-123.097641,Prince Edward Park
36895720,49.249546,-123.082904,Glen Park
36895721,49.2549345,-123.0807593,Sunnyside Park
36895722,49.2570899,-123.0724612,Clark Park
36902777,49.2607536,-123.0765158,Cedar Cottage Park
36902778,49.2630518,-123.072925,W.C. Shelley Park
36902780,49.2733301,-123.0741028,Mosaic Creek Park
36903158,49.2773088,-123.0680152,Salsbury Park
36903164,49.2855503,-123.0620729,Oxford Park
36903165,49.2862726,-123.0621893,Cambridge Park
36903167,49.2886618,-123.0571975,McGill Park
36903172,49.2911758,-123.0506328,Burrard View Park
36903177,49.2921092,-123.0476473,Dusty Greenwell Park
36903180,49.2861999,-123.0454084,Callister Park
36903184,49.2838019,-123.0432012,Italian Gardens - Hastings Park
36903185,49.2823771,-123.0395781,The Sanctuary - Hastings Park
36903187,49.2826753,-123.0333436,Empire Fields
36903188,49.2921496,-123.0247825,Bates Park
36915421,49.2638852,-123.0886688,Sahalli Park
36915440,49.2756102,-123.0883894,Strathcona Park
36915442,49.274991,-123.0850276,Strathcona Park
36916134,49.2772419,-123.0875915,Strathcona Linear Park
36916136,49.2788279,-123.0884643,MacLean Park
36916223,49.2556594,-123.1351263,Shaughnessy Park
36916224,49.2536035,-123.1435901,Angus Park
36918222,49.2444674,-123.1650039,Park Site on Trafalgar Street
36918224,49.2407164,-123.1562694,Ravine Park
37046018,49.2498539,-123.1565904,Arbutus Village Park
37047788,49.2490454,-123.1922214,Chaldecott Park
37047789,49.2523563,-123.1764189,Valdez Park
37054338,49.2741522,-123.206964,Locarno Beach Park
37054340,49.2726138,-123.1963143,Jericho Beach Park
37054341,49.2727813,-123.1866322,Hastings Mill Park
37054342,49.2719102,-123.1794559,Jean Beaty Park
37054343,49.2716369,-123.1761919,Point Grey Road Park
37054345,49.2716548,-123.1692405,Volunteer Park
37054346,49.2721174,-123.1674617,Margaret Pigott Park
37054347,49.2726219,-123.1661472,Point Grey Park Site at Stephens Street
37054349,49.273431,-123.1645896,Point Grey Park Site at Trafalgar Street
37054848,49.2715267,-123.1460076,Seaforth Peace Park
37054857,49.2659852,-123.1520025,Delamont Park
37054858,49.2617896,-123.1574111,Rosemary Brown Park
37055182,49.2672867,-123.1372348,Granville Loop Park
37055184,49.2654246,-123.1289325,Choklit Park
37055588,49.2648544,-123.1220268,Willow Park
37055592,49.2674305,-123.1241509,Charleson Park
37055593,49.2724874,-123.1293418,George Wainborn Park
37055742,49.2719327,-123.1244466,David Lam Park
37055744,49.2751915,-123.1320738,May & Lorne Brown Park
37055818,49.2766591,-123.1241404,Emery Barnes Park
37055844,49.2749395,-123.1196988,Helmcken Park
37055939,49.2770343,-123.1189549,Yaletown Park
37056022,49.2824913,-123.1137159,Cathedral Square
37056025,49.2828461,-123.1296405,Nelson Park
37056114,49.2872468,-123.132119,Barclay Heritage Square
37056115,49.2940669,-123.1344548,Devonian Harbour Park
37057429,49.2880394,-123.1191806,Portal Park
37057434,49.2902061,-123.1212248,Harbour Green Park
