id,latitude,longitude,price,minimum_nights,reviews_per_month,rate,num_bedroom,num_skytrain,num_bustop,num_restaurant,num_parks,num_market,dis_skytrain,dis_bustop,dis_restaurant,dis_parks,dis_market
39390429,49.27495193481445,-123.11550903320312,127,30,0.29,5.0,1,5,16,54,5,2,466.29,79.0,77.72,150.86,351.95
39421282,49.25009,-123.06371,120,2,1.75,4.69,1,1,6,0,1,0,589.88,99.76,511.22,334.11,596.67
39487783,49.23366,-123.03118,48,360,0.3,4.62,2,1,26,37,4,3,524.56,190.03,151.06,184.07,202.44
39511588,49.23407,-123.08319,141,1,3.39,4.76,1,0,13,0,1,0,2429.13,174.88,510.03,378.81,771.45
39535545,49.26744,-123.09784,216,1,4.12,4.87,1,2,16,18,2,0,662.68,166.76,234.18,175.69,521.89
39536993,49.25405,-123.0854,366,4,0.8,4.97,3,0,12,17,2,2,1386.31,42.53,195.52,350.87,327.2
39553326,49.27795,-123.12939,110,30,0.42,5.0,1,2,33,75,3,5,662.44,88.76,112.93,363.3,153.51
39560367,49.27398,-123.11887,276,31,0.1,3.5,2,4,17,51,8,3,228.75,84.07,61.58,116.98,115.31
39604650,49.27727,-123.12768,170,30,0.16,5.0,2,2,36,85,4,6,517.52,58.27,57.27,265.61,206.79
39703281,49.2783,-123.10743,600,3,0.66,4.64,3,8,27,24,8,2,183.1,13.14,118.15,212.28,188.97
39733287,49.28047,-123.12333,238,1,3.24,4.69,1,5,44,99,5,4,407.23,120.14,76.15,211.65,225.93
39746838,49.2637,-123.1264,499,2,1.05,4.89,2,2,18,29,6,0,839.14,51.6,42.49,252.75,692.41
39750014,49.27816,-123.12889,99,1,0.19,4.38,2,2,33,74,3,5,647.31,70.51,71.36,333.96,192.58
39794802,49.25791,-123.07458,85,2,0.32,4.93,2,3,11,5,4,0,591.02,275.47,386.52,178.77,772.22
39849788,49.2812,-123.10691,260,30,1.44,4.79,3,6,41,60,7,4,265.49,35.47,75.8,175.91,152.19
39872694,49.2789066,-123.1079972,407,2,1.37,4.77,2,8,33,33,9,3,109.86,16.34,66.35,227.61,114.87
39918900,49.27905,-123.10784,240,3,0.35,4.87,2,8,33,37,9,3,113.51,31.59,46.83,220.44,100.81
39973193,49.22497,-123.13661,1142,2,4.7,4.92,6,0,14,0,0,0,1497.19,226.76,603.11,684.63,1142.78
39974889,49.2347,-123.19752,218,1,4.03,4.93,2,0,3,0,0,0,4709.75,63.48,879.4,606.63,881.36
39985555,49.28055,-123.08393,141,3,0.71,5.0,1,0,14,4,2,0,1262.58,56.9,115.2,380.6,665.78
39991541,49.28204,-123.13652,311,4,1.79,4.97,1,0,17,24,3,3,1275.95,143.46,133.45,478.19,262.36
39995253,49.27915,-123.12522,236,2,4.44,4.86,1,4,33,97,3,6,566.46,76.12,92.17,178.95,262.21
40038637,49.2122,-123.11954,145,2,0.41,4.39,2,1,7,3,2,1,340.84,202.64,270.78,218.32,368.68
40086393,49.27821,-123.1211,242,2,4.65,4.53,1,6,39,125,7,5,412.51,75.92,97.0,203.24,64.35
40092564,49.27509,-123.10154,294,5,0.71,5.0,2,3,44,15,7,0,229.67,25.23,146.82,128.01,584.69
40101042,49.25035,-123.02402,298,4,1.12,4.89,3,0,21,4,2,0,1327.27,45.76,353.23,368.42,1509.95
40121175,49.279,-123.10807,345,3,1.83,4.85,3,8,33,33,9,3,100.31,27.97,62.74,221.38,104.15
40121641,49.27592,-123.11488,140,30,0.7,4.8,2,4,15,50,6,3,532.32,26.47,39.98,253.07,423.11
40145842,49.27588,-123.09249,220,2,2.28,4.89,3,2,33,3,5,0,456.38,118.66,396.4,149.32,835.09
40156795,49.2676,-123.06563,131,1,0.14,5.0,1,3,7,25,3,4,557.17,290.9,283.94,172.26,277.56
40160433,49.27301,-123.15554,329,3,2.76,4.96,1,0,6,14,1,1,2446.08,37.75,85.17,272.31,155.17
40177739,49.27888,-123.06297,239,2,1.41,4.94,2,0,8,15,2,1,1816.02,269.98,228.44,306.84,188.91
40183789,49.28009,-123.10844,248,2,4.26,4.97,1,7,40,50,9,3,99.56,85.37,12.7,220.75,27.87
40184621,49.2307,-123.05101,499,2,1.86,4.81,4,0,16,0,1,0,1546.82,223.96,607.61,391.89,599.66
40206658,49.28405,-123.12374,150,28,0.1,5.0,1,6,44,87,6,3,334.9,70.6,76.36,269.26,221.66
40208334,49.26973,-123.10922,280,2,5.71,4.96,1,4,4,12,4,1,587.49,88.65,23.24,137.37,259.79
40211895,49.2864,-123.12716,230,1,1.47,4.83,2,4,29,73,6,3,539.45,19.63,36.36,151.44,198.89
40222684,49.27273,-123.15974,389,1,0.68,4.96,2,0,8,10,3,1,2752.23,32.46,331.89,335.03,346.38
40232273,49.29205,-123.13455,250,30,0.21,4.89,2,0,12,58,6,5,1284.77,79.73,22.44,160.53,60.11
40234874,49.27994,-123.12083,75,30,0.16,5.0,1,8,42,110,5,5,323.62,101.34,58.33,175.26,156.65
40240131,49.27355,-123.12766,314,1,5.47,4.89,1,1,23,45,6,4,431.72,24.61,100.39,169.85,165.52
40351995,49.27527,-123.12749,109,31,0.21,5.0,1,1,30,66,6,4,413.28,90.49,109.96,287.93,136.55
40375587,49.26464043690546,-123.16359034796253,274,2,2.53,4.79,2,0,18,21,1,3,3218.47,94.1,79.61,382.85,202.0
40399680,49.26676,-123.18104,369,3,0.73,4.9,2,0,18,22,2,3,4376.73,191.48,204.6,152.21,230.24
40404758,49.28068,-123.12518,302,3,1.11,4.87,1,4,37,98,5,4,515.29,80.69,23.3,77.17,171.5
40537372,49.27451,-123.1133,519,30,0.27,5.0,2,6,10,22,6,0,615.76,89.71,83.09,156.32,509.38
40545826,49.27526,-123.11615,135,30,0.44,5.0,1,5,17,59,5,2,425.16,72.98,81.11,136.78,312.73
